# 60x60.Tetramagic Square.
# Generated by Toshihiro Shirakawa in 2025.12.28
# S1=107970
# S2=259092010
# S3=699451254000
# S4=2014139779199998

1368,2480,1711,1744,367,1988,2566,2761,982,2300,2110,2390,2214,212,2043,140,1141,3494,855,3596,2979,564,1647,441,297,2645,721,3241,531,2912,687,3068,358,2878,954,3302,3158,1952,3035,620,3,2744,105,2458,3459,1556,3387,1385,1209,1489,1299,2617,838,1033,1611,3232,1855,1888,1119,2231,
3529,3141,2119,285,46,3475,2469,1775,1538,3279,3011,2991,1384,2391,2685,1693,236,1964,2285,844,506,3221,2760,2539,1610,1156,2599,684,1337,2843,756,2262,2915,1000,2443,1989,1060,839,378,3093,2755,1314,1635,3363,1906,914,1208,2215,608,588,320,2061,1824,1130,124,3553,3314,1480,458,70,
3235,1149,291,2715,2358,3292,1992,434,1448,2540,2841,2581,830,2492,487,2305,1504,146,3025,1849,2267,2889,3547,2988,1676,74,228,1738,2171,908,2691,1428,1861,3371,3525,1923,611,52,710,1332,1750,574,3453,2095,1294,3112,1107,2769,1018,758,1059,2151,3165,1607,307,1241,884,3308,2450,364,
2381,3321,2576,1481,1661,301,692,831,1549,679,429,1146,619,2698,2984,1813,3486,2401,984,2224,14,1731,303,3361,2234,1713,2903,1859,3070,3359,240,529,1740,696,1886,1365,238,3296,1868,3585,1375,2615,1198,113,1786,615,901,2980,2453,3170,2920,2050,2768,2907,3298,1938,2118,1023,278,1218,
3187,1136,969,693,2953,1176,2085,2757,2869,2784,152,1990,3380,284,1843,1656,3108,1338,3254,421,1039,83,595,1872,1262,953,2392,3590,1439,2128,1471,2160,9,1207,2646,2337,1727,3004,3516,2560,3178,345,2261,491,1943,1756,3315,219,1609,3447,815,730,842,1514,2423,646,2906,2630,2463,412,
708,2120,469,1735,1238,2217,1132,3330,404,3372,512,50,1758,3288,69,1534,2537,2325,1962,888,2278,961,779,133,2415,1576,541,2993,2819,946,2653,780,606,3058,2023,1184,3466,2820,2638,1321,2711,1637,1274,1062,2065,3530,311,1841,3549,3087,227,3195,269,2467,1382,2361,1864,3130,1479,2891,
1837,995,129,2333,867,918,180,1223,2010,3226,3006,3132,498,2535,889,1077,2202,3383,2859,2233,115,3032,2059,2245,3163,2893,1616,1961,1225,30,3569,2374,1638,1983,706,436,1354,1540,567,3484,1366,740,216,1397,2522,2710,1064,3101,467,593,373,1589,2376,3419,2681,2732,1266,3470,2604,1762,
1777,462,2935,2940,2444,2800,221,1437,2849,873,559,1535,515,2011,2505,104,132,3281,3584,1469,2380,1270,1955,1372,2643,282,3211,1710,2593,2579,1020,1006,1889,388,3317,956,2227,1644,2329,1219,2130,15,318,3467,3495,1094,1588,3084,2064,3040,2726,750,2162,3378,799,1155,659,664,3137,1822,
1781,1454,1703,121,1937,1340,3309,2172,2905,2460,390,82,925,2728,2393,3083,55,1502,604,1305,3018,992,812,453,2005,2571,1186,3251,181,2855,744,3418,348,2413,1028,1594,3146,2787,2607,581,2294,2995,2097,3544,516,1206,871,2674,3517,3209,1139,694,1427,290,2259,1662,3478,1896,2145,1818,
535,43,2219,1310,2558,663,577,3522,1605,1979,1768,2972,312,1916,3181,2412,1124,913,1474,847,431,1019,3461,2396,2826,2269,3334,1544,3384,2778,821,215,2055,265,1330,773,1203,138,2580,3168,2752,2125,2686,2475,1187,418,1683,3287,627,1831,1620,1994,77,3022,2936,1041,2289,1380,3556,3064,
1509,3350,29,1987,2385,1948,497,2844,633,300,683,1084,2812,2720,459,589,928,988,1463,3462,1302,416,1063,2184,98,2406,1879,1833,1342,231,3368,2257,1766,1720,1193,3501,1415,2536,3183,2297,137,2136,2611,2671,3010,3140,879,787,2515,2916,3299,2966,755,3102,1651,1214,1612,3570,249,2090,
1118,862,1560,3199,1013,3331,2822,2196,1200,2699,1331,423,2786,84,1196,2910,1281,1066,2977,211,1472,1851,1878,127,343,1673,2047,3005,3118,51,3548,481,594,1552,1926,3256,3472,1721,1748,2127,3388,622,2533,2318,689,2403,3515,813,3176,2268,900,2399,1403,777,268,2586,400,2039,2737,2481,
2610,3526,1473,2655,1168,3179,1936,3180,734,17,2350,2068,2764,1329,2026,257,2750,525,3249,1857,214,2193,2943,1022,661,3426,2282,1101,3043,1877,1722,556,2498,1317,173,2938,2577,656,1406,3385,1742,350,3074,849,3342,1573,2270,835,1531,1249,3582,2865,419,1663,420,2431,944,2126,73,989,
